Label,timeISO8601,Dd,Method,RMSE,Integral,Fit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24,g25,g26,g27,g28,g29,g30,g31,g32,g33,g34,g35,g36,g37,g38,g39,g40,g41,g42,g43,g44,g45,g46,g47,g48,g49,g50,g51,g52,g53,g54,g55,g56,g57,g58,g59,g60
Lower bin bounds,2022-02-01T00:00:00.0,5.000000000000001e-8,L₀DₓB,0.21,0.96,,4.824907676216201,4.6572625276949875,4.496683066215899,4.342809508493127,4.19530257272384,4.053842325066538,3.918127076536056,3.787872330434563,3.6628097800893467,3.542686356349012,3.427263324004536,3.316315426054809,3.2096300745277495,3.1070065863980654,3.0082554630083207,2.913197711299699,2.8216642050884544,2.7334950845809605,2.6485391923006976,2.5666535436010074,2.4877028299552535,2.4115589532474835,2.3381005893300157,2.267212779166148,2.19878654593527,2.1327185365414163,2.0689106860335698,2.007269903515525,1.9477077781932193,1.8901403042779767,1.8344876235335352,1.7806737843230858,1.72862651607898,1.678277018181994,1.6295597622989928,1.582412307286967,1.5367751258280369,1.492591442013636,1.4498070791470916,1.4083703170818989,1.368231758458329,1.3293442032438272,1.2916625310226322,1.2551435905178108,1.2197460958639967,1.185430529182236,1.1521590490389892,1.1198954044001999,1.0886048537181203,1.0582540888135463,1.0288111632394694,1.0002454248337518,0.9725274521886824,0.9456289947839487,0.9195229165471108,0.8941831426217919,0.8695846091389438,0.8457032158005453,0.8225157810980921,0.8000000000003874
Midpoints,2022-02-01T00:00:00.0,5.000000000000001e-8,L₀DₓB,0.21,0.96,,4.911673684303649,4.740344050807875,4.576268517384869,4.419076597734241,4.268418899760281,4.123965947455003,3.985407052968502,3.8524492391642737,3.7248162125996958,3.602247386538611,3.4844969533013272,3.371333004991961,3.2625367014159123,3.157901483811525,3.0572323328682125,2.9603450693864484,2.867065695850022,2.77722977712456,2.6906818584652448,2.6072749190073408,2.5268698589224785,2.449335018448414,2.3745457270374932,2.3023838809166715,2.2327375474074507,2.1655005944155326,2.100572343565537,2.0378572455245343,1.9772645761279244,1.91870815199152,1.8621060643636438,1.8073804300399305,1.7544571582308839,1.7032657323375466,1.6537390056537074,1.6058130100735735,1.559426776941695,1.5145221692370028,1.4710437243351182,1.4289385066425955,1.3881559694434487,1.3486478253423642,1.3103679247303737,1.2732721417376058,1.237318267174141,1.2024659079940787,1.1686763928497874,1.1359126833330406,1.104139290527547,1.0733221965232402,1.0434287805668336,1.0144277495456093,0.9862890725223284,0.9589839190585933,0.9324846010821032,0.9067645180700727,0.8817981053367053,0.8575607852271844,0.8340289210341293,0.8111797734650392
Upper bin bounds,2022-02-01T00:00:00.0,5.000000000000001e-8,L₀DₓB,0.21,0.96,,4.999999999999996,4.824907676216201,4.6572625276949875,4.496683066215899,4.342809508493127,4.19530257272384,4.053842325066538,3.918127076536056,3.787872330434563,3.6628097800893467,3.542686356349012,3.427263324004536,3.316315426054809,3.2096300745277495,3.1070065863980654,3.0082554630083207,2.913197711299699,2.8216642050884544,2.7334950845809605,2.6485391923006976,2.5666535436010074,2.4877028299552535,2.4115589532474835,2.3381005893300157,2.267212779166148,2.19878654593527,2.1327185365414163,2.0689106860335698,2.007269903515525,1.9477077781932193,1.8901403042779767,1.8344876235335352,1.7806737843230858,1.72862651607898,1.678277018181994,1.6295597622989928,1.582412307286967,1.5367751258280369,1.492591442013636,1.4498070791470916,1.4083703170818989,1.368231758458329,1.3293442032438272,1.2916625310226322,1.2551435905178108,1.2197460958639967,1.185430529182236,1.1521590490389892,1.1198954044001999,1.0886048537181203,1.0582540888135463,1.0288111632394694,1.0002454248337518,0.9725274521886824,0.9456289947839487,0.9195229165471108,0.8941831426217919,0.8695846091389438,0.8457032158005453,0.8225157810980921
invertTDMA,2022-02-01T00:00:00.0,5.000000000000001e-8,L₀DₓB,0.21,0.96,,0.0,0.00026272603834837934,0.0002742848174928061,0.0002862372047538229,0.0002985909721260631,0.0003113538620076051,0.00032453375566089053,0.00033813878725950914,0.00035217742539737196,0.00036665803556202545,0.0003815896067373875,0.0003969812124564303,0.0004128423505360747,0.0004291828501817988,0.00044601288254304583,0.00046334300869474085,0.0004811841396881325,0.0004995472461076114,0.0005184437677233479,0.0005378851374675363,0.0005578832187168052,0.0005784502290904772,0.0005995992607138779,0.0006977122833362654,0.0021097761400658845,0.004669744894878812,0.007929615769826598,0.012004865417848402,0.017067404141193166,0.02107331968249092,0.02317907224149396,0.0258064410897036,0.029068428503041376,0.03181638011988492,0.03441904244545041,0.03690708627703373,0.03872103483710702,0.03976854823400467,0.04095950754456991,0.045968917634826335,0.058737294031374634,0.07688842354346095,0.09163252191817953,0.0937996151099304,0.08149697105715069,0.0611155282210505,0.04283883338725225,0.029343022493065838,0.02034481771141183,0.013645263945733762,0.007331290819444905,0.0015418746959230821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
