File,timeISO8601,timeInt64,Dd,DMA1,DMA2,DMA3,DMA4,DMA5,DMA6,DMA7,DMA8,DMA9,DMA10,DMA11,DMA12,DMA13,DMA14,DMA15,DMA16,DMA17,DMA18,DMA19,DMA20,DMA21,DMA22,DMA23,DMA24,DMA25,DMA26,DMA27,DMA28,DMA29,DMA30,DMA31,DMA32,DMA33,DMA34,DMA35,DMA36,DMA37,DMA38,DMA39,DMA40,DMA41,DMA42,DMA43,DMA44,DMA45,DMA46,DMA47,DMA48,DMA49,DMA50,DMA51,DMA52,DMA53,DMA54,DMA55,DMA56,DMA57,DMA58,DMA59,DMA60
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,81.895004,83.84,85.845,87.895,90.005,92.175,94.395004,96.685,99.04,101.46,103.94,106.505005,109.134995,111.840004,114.62,117.485,120.42999,123.47,126.59,129.81,133.125,136.54001,140.055,143.68,147.42502,151.26999,155.25,159.355,163.585,167.95502,172.465,177.115,181.92,186.88,192.01001,197.31,202.80002,208.45999,214.32,220.37,226.64499,233.13501,239.85,246.81,254.00998,261.46997,269.185,277.19,285.49,294.09,303.005,312.25497,321.84998,331.8,342.12,352.83502,363.96997,375.505,387.495,399.945
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:15:09.0,63717322509000,100.0,0.0,0.0,0.007064526,0.04386642,0.0065935706,0.0074494723,0.0648864,0.18779784,0.30412832,0.4748305,0.5045687,0.7335538,0.8264401,0.5792846,0.662827,1.145708,2.0817854,2.017354,1.8468934,1.6844171,1.3313808,1.9091994,2.7862139,2.8448908,2.8267508,2.0540109,0.8373417,0.50523233,0.44032127,0.18479444,0.030035771,0.017447054,0.04480249,0.003621535,0.00023567215,0.0,0.0,0.0,0.0,0.0,0.000122032725,0.004168862,0.04325429,0.053294625,0.03783891,0.0028913491,0.00012637116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,119.994995,122.785,125.65,128.595,131.625,134.73001,137.935,141.215,144.59999,148.08,151.66,155.345,159.13998,163.04001,167.04999,171.19,175.45,179.835,184.36002,189.01999,193.82501,198.775,203.875,209.14499,214.58002,220.175,225.965,231.94,238.095,244.465,251.03499,257.825,264.835,272.075,279.57,287.305,295.31,303.59,312.15497,321.0,330.16,339.635,349.44498,359.59503,370.105,380.97498,392.24,403.90002,415.975,428.47998,441.435,454.865,468.77502,483.18,498.12,513.595,529.645,546.27,563.51,581.385
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,121.39,124.22,127.12,130.11,133.18,136.33,139.58,142.91,146.34,149.87,153.5,157.24,161.09,165.05,169.12,173.32,177.64,182.1,186.69,191.42,196.3,201.33,206.51,211.86,217.38,223.07,228.95,235.02,241.28,247.75,254.43,261.33,268.46,275.82,283.44,291.31,299.45,307.87,316.58,325.58,334.9,344.54,354.52,364.85,375.54,386.61,398.07,409.94,422.23,434.96,448.15,461.82,475.98,490.65,505.86,521.62,537.96,554.89,572.45,590.65
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,122.785,125.65,128.595,131.625,134.73001,137.935,141.215,144.59999,148.08,151.66,155.345,159.13998,163.04001,167.04999,171.19,175.45,179.835,184.36002,189.01999,193.82501,198.775,203.875,209.14499,214.58002,220.175,225.965,231.94,238.095,244.465,251.03499,257.825,264.835,272.075,279.57,287.305,295.31,303.59,312.15497,321.0,330.16,339.635,349.44498,359.59503,370.105,380.97498,392.24,403.90002,415.975,428.47998,441.435,454.865,468.77502,483.18,498.12,513.595,529.645,546.27,563.51,581.385,599.91504
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:21:28.0,63717322888000,150.0,0.0,0.0,0.045401964,0.26782632,0.068864204,0.028951945,0.16881025,0.4897811,0.462494,0.4989143,0.42148802,0.54948926,0.8387735,0.8582145,0.649507,0.47759998,0.4788977,0.49948084,0.4301717,0.55565155,1.0793142,1.353799,1.5384984,2.5578368,3.6117902,3.6277156,2.043615,1.378232,1.9147763,0.7861906,0.11219883,0.054989252,0.22050968,0.07925661,0.0050998596,0.0005971173,0.0069654114,0.054341324,0.004856622,0.00061096903,0.006761906,0.095344834,0.0593143,0.003753369,0.00025143073,0.0,0.0,0.00038395674,0.008235793,0.062117506,0.0058570937,0.00039245788,0.0,0.0,0.0003987303,0.009087596,0.06619245,0.008636332,0.012887634,0.12249722
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,159.98499,163.70001,167.51001,171.435,175.465,179.615,183.88,188.26999,192.785,197.435,202.22,207.13998,212.22,217.445,222.83002,228.37,234.08499,239.97499,246.04999,252.29999,258.765,265.415,272.28,279.365,286.67,294.21497,302.0,310.035,318.32498,326.89502,335.74,344.88,354.325,364.06998,374.14502,384.56,395.32,406.44,417.935,429.815,442.11,454.81,467.945,481.53,495.58502,510.12003,525.14996,540.715,556.8,573.455,590.68494,608.515,626.95996,646.05505,665.81995,686.27,707.44995,729.37,752.07,775.56494
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,161.84,165.61,169.47,173.45,177.54,181.75,186.07,190.53,195.11,199.83,204.68,209.68,214.83,220.14,225.6,231.23,237.03,243.01,249.18,255.53,262.09,268.85,275.82,283.02,290.44,298.11,306.02,314.18,322.61,331.32,340.31,349.6,359.2,369.11,379.35,389.94,400.88,412.19,423.88,435.96,448.46,461.38,474.74,488.56,502.85,517.64,532.93,548.76,565.13,582.07,599.6,617.74,636.51,655.94,676.05,696.86,718.41,740.72,763.82,787.73
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,163.70001,167.51001,171.435,175.465,179.615,183.88,188.26999,192.785,197.435,202.22,207.13998,212.22,217.445,222.83002,228.37,234.08499,239.97499,246.04999,252.29999,258.765,265.415,272.28,279.365,286.67,294.21497,302.0,310.035,318.32498,326.89502,335.74,344.88,354.325,364.06998,374.14502,384.56,395.32,406.44,417.935,429.815,442.11,454.81,467.945,481.53,495.58502,510.12003,525.14996,540.715,556.8,573.455,590.68494,608.515,626.95996,646.05505,665.81995,686.27,707.44995,729.37,752.07,775.56494,799.895
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:27:47.0,63717323267000,200.0,0.004380726,0.030654838,0.10598582,0.04571232,0.056750063,0.20437917,0.353838,0.09159736,0.08808605,0.4530753,0.40757176,0.2291774,0.35289738,0.26542312,0.22930528,0.27428937,0.23905258,0.4046507,0.71773237,0.7487202,0.6845556,0.62916094,1.0780629,2.2554522,2.5932884,2.7505188,3.209043,2.4306679,1.7015584,1.2230009,0.6638513,0.30093217,0.1129391,0.07223285,0.12228352,0.036193803,0.002530007,0.00048469956,0.0076752496,0.057178747,0.0056578433,0.00037108365,0.0,0.0003749762,0.008533938,0.06145606,0.006340532,0.00038203984,0.0,0.0,0.0005166167,0.00985872,0.067120455,0.007330691,0.00052578276,0.0,0.0005300878,0.009716549,0.06895182,0.026293036
